Rank	Character	Frequency	Dominance	RTK1	RTK1&3	常用1981	常用2009	人名用
1	年	11930279	2.13673377%	yes	yes	yes	yes	no
2	日	10090438	1.80721504%	yes	yes	yes	yes	no
3	編	7166907	1.28360554%	yes	yes	yes	yes	no
4	集	7119703	1.27515122%	yes	yes	yes	yes	no
5	月	6560179	1.17493950%	yes	yes	yes	yes	no
6	用	4947370	0.88608259%	yes	yes	yes	yes	no
7	本	4674501	0.83721128%	yes	yes	yes	yes	no
8	者	4616606	0.82684218%	yes	yes	yes	yes	no
9	大	4578209	0.81996521%	yes	yes	yes	yes	no
10	学	3986743	0.71403262%	yes	yes	yes	yes	no
11	中	3709942	0.66445708%	yes	yes	yes	yes	no
12	一	3486585	0.62445345%	yes	yes	yes	yes	no
13	画	3458758	0.61946959%	yes	yes	yes	yes	no
14	利	3328131	0.59607406%	yes	yes	yes	yes	no
15	人	3319485	0.59452555%	yes	yes	yes	yes	no
16	国	3247035	0.58154963%	yes	yes	yes	yes	no
17	目	3167760	0.56735134%	yes	yes	yes	yes	no
18	節	3072647	0.55031643%	yes	yes	yes	yes	no
19	作	2971735	0.53224292%	yes	yes	yes	yes	no
20	県	2967413	0.53146884%	yes	yes	yes	yes	no
21	像	2862510	0.51268053%	yes	yes	yes	yes	no
22	市	2858814	0.51201857%	yes	yes	yes	yes	no
23	道	2835968	0.50792681%	yes	yes	yes	yes	no
24	関	2790320	0.49975118%	yes	yes	yes	yes	no
25	記	2581628	0.46237408%	yes	yes	yes	yes	no
26	事	2568194	0.45996802%	yes	yes	yes	yes	no
27	部	2536743	0.45433509%	yes	yes	yes	yes	no
28	出	2465069	0.44149816%	yes	yes	yes	yes	no
29	時	2406360	0.43098327%	yes	yes	yes	yes	no
30	名	2310059	0.41373559%	yes	yes	yes	yes	no
31	会	2293337	0.41074065%	yes	yes	yes	yes	no
32	合	2186141	0.39154166%	yes	yes	yes	yes	no
33	駅	2168855	0.38844571%	yes	yes	yes	yes	no
34	行	2154630	0.38589799%	yes	yes	yes	yes	no
35	方	2139580	0.38320251%	yes	yes	yes	yes	no
36	表	2120052	0.37970501%	yes	yes	yes	yes	no
37	田	2109418	0.37780044%	yes	yes	yes	yes	no
38	山	2082153	0.37291723%	yes	yes	yes	yes	no
39	地	2043802	0.36604850%	yes	yes	yes	yes	no
40	東	2038064	0.36502082%	yes	yes	yes	yes	no
41	連	2030593	0.36368275%	yes	yes	yes	yes	no
42	高	2026182	0.36289273%	yes	yes	yes	yes	no
43	上	2015991	0.36106750%	yes	yes	yes	yes	no
44	場	2003761	0.35887709%	yes	yes	yes	yes	no
45	生	1890769	0.33864002%	yes	yes	yes	yes	no
46	項	1890003	0.33850283%	yes	yes	yes	yes	no
47	特	1864325	0.33390386%	yes	yes	yes	yes	no
48	自	1816677	0.32537002%	yes	yes	yes	yes	no
49	別	1813072	0.32472436%	yes	yes	yes	yes	no
50	除	1767231	0.31651415%	yes	yes	yes	yes	no
51	子	1753508	0.31405634%	yes	yes	yes	yes	no
