Rank	Word	CountPerBillion
1	the	56271872
2	of	33950064
3	and	29944184
4	to	25956096
5	in	17420636
6	i	11764797
7	that	11073318
8	was	10078245
9	his	8799755
10	he	8397205
11	it	8058110
12	with	7725512
13	is	7557477
14	for	7097981
15	as	7037543
16	had	6139336
17	you	6048903
18	not	5741803
19	be	5662527
20	her	5202501
21	on	5113263
22	at	5091841
23	by	5061050
24	which	4580906
25	have	4346500
26	or	4228287
27	from	4108111
28	this	4015425
29	him	3971997
30	but	3894211
31	all	3703342
32	she	3415846
33	they	3340398
34	were	3323884
35	my	3277699
36	are	3224178
37	me	3027134
38	one	2832569
39	their	2820265
40	so	2802481
41	an	2641417
42	said	2637136
43	them	2509917
44	we	2491655
45	who	2472663
46	would	2400858
47	been	2357654
48	will	2320022
49	no	2241145
50	when	1980046
51	there	1961200
52	if	1951102
53	more	1899787
54	out	1875351
55	up	1792712
56	into	1703963
57	do	1680164
58	any	1665366
59	your	1658553
60	what	1605908
61	has	1602329
62	man	1573117
63	could	1571110
64	other	1533530
65	than	1508779
66	our	1498473
67	some	1476767
68	very	1462382
69	time	1449681
70	upon	1424595
71	about	1414687
72	may	1400642
73	its	1373270
74	only	1318367
75	now	1317723
76	like	1280625
77	little	1273589
78	then	1255636
79	can	1210074
80	should	1192154
81	made	1188501
82	did	1185720
83	us	1171742
84	such	1136757
85	a	1135294
86	great	1120163
87	before	1117089
88	must	1108116
89	two	1093366
90	these	1090510
91	see	1084286
92	know	1075612
93	over	1056659
94	much	1021822
95	down	989808
96	after	978575
97	first	978196
98	Mr	974419
99	good	966602
100	men	923053
101	own	922130
102	never	899673
103	most	889691
104	old	887917
105	shall	883846
106	day	882331
107	where	881975
108	those	878621
109	came	873144
